Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Věra Adámková,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Andrej Babi,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Andrea Babiová,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Margita Balatíková,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Josef Bělica,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Stanislav Berkovec,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Jiří Bláha,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Richard Brabec,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Milan Brázdil,refrained
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Andrea Brzobohatá,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Jaroslav Boch,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Klára Dostálová,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Lenka Drailová,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Jaroslav Faltýnek,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Kamal Farhan,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Milan Feranec,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Eva Fialová,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Stanislav Fridrich,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Josef Hájek,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Jiří Hlavatý,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Milan Hnilička,yes
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Ivan Jáč,not-logged-in
Inf. o ustavení volební komise PS a volbě členů,20. 11. 2017 13:53,ANO,Miloslav Janulík,yes
